Default Locations,s_GUID
Back Sound,{A4C572AE-CA9F-11D4-BC29-B0219AD0F73F}
Barden's Inlet,{A4C572AF-CA9F-11D4-BC29-B0219AD0F73F}
Beaufort Harbor,{A4C572B0-CA9F-11D4-BC29-B0219AD0F73F}
Beaufort Inlet,{A4C572B1-CA9F-11D4-BC29-B0219AD0F73F}
Bell Creek,{CCEF8326-CD6D-4211-A209-E21FBD064E00}
Bogue Sound,{A4C572B2-CA9F-11D4-BC29-B0219AD0F73F}
Calico Creek,{427D613C-1EE7-11D6-BC29-FF4B3886BA3C}
"Cape Point, East Beach",{DBE45CA5-2207-11D6-BC29-D69F0242453F}
"Cape Point, West Beach",{A4C572CB-CA9F-11D4-BC29-B0219AD0F73F}
Coastal Bogue Banks,{A4C572B3-CA9F-11D4-BC29-B0219AD0F73F}
Coastal Shack East,{A4C572B4-CA9F-11D4-BC29-B0219AD0F73F}
Coastal Shack Mid,{0F44F375-0E5E-11D6-BC29-C88A20C3793F}
Coastal Shack West,{A4C572B5-CA9F-11D4-BC29-B0219AD0F73F}
Core Creek,{A4C572B6-CA9F-11D4-BC29-B0219AD0F73F}
Core Sound,{A4C572B7-CA9F-11D4-BC29-B0219AD0F73F}
Fort Macon Park,{A4C572B8-CA9F-11D4-BC29-B0219AD0F73F}
Fort Macon USGC,{A4C572B9-CA9F-11D4-BC29-B0219AD0F73F}
Gallants Channel,{A4C572BA-CA9F-11D4-BC29-B0219AD0F73F}
Harker's Island Bridge,{57969E06-239B-11D6-BC29-DA642D9D523E}
Lookout Bight,{A4C572BB-CA9F-11D4-BC29-B0219AD0F73F}
Lookout Jetty,{A4C572BC-CA9F-11D4-BC29-B0219AD0F73F}
Middle Marsh East,{A4C572BD-CA9F-11D4-BC29-B0219AD0F73F}
Middle Marsh West,{A4C572BE-CA9F-11D4-BC29-B0219AD0F73F}
Newport Marsh,{A4C572BF-CA9F-11D4-BC29-B0219AD0F73F}
Newport R. @  Core Crk.,{A4C572C0-CA9F-11D4-BC29-B0219AD0F73F}
Newport River ICW,{A4C572C1-CA9F-11D4-BC29-B0219AD0F73F}
No Sightings,{DBE45CD0-2207-11D6-BC29-D69F0242453F}
North River,{A4C572C2-CA9F-11D4-BC29-B0219AD0F73F}
Offshore Bogue Banks,{A4C572C3-CA9F-11D4-BC29-B0219AD0F73F}
Offshore Shack,{A4C572C4-CA9F-11D4-BC29-B0219AD0F73F}
Phillips Island,{A4C572C5-CA9F-11D4-BC29-B0219AD0F73F}
Power Squadron Spit,{A4C572C6-CA9F-11D4-BC29-B0219AD0F73F}
Radio Island Beach,{5E463DE3-2391-11D6-BC29-DA642D9D523E}
Radio Island Ramp,{5E463DE2-2391-11D6-BC29-DA642D9D523E}
Russell Slough,{A4C572C7-CA9F-11D4-BC29-B0219AD0F73F}
Straits,{A4C572C8-CA9F-11D4-BC29-B0219AD0F73F}
Taylors Creek,{A4C572C9-CA9F-11D4-BC29-B0219AD0F73F}
Turning Basin,{A4C572CA-CA9F-11D4-BC29-B0219AD0F73F}
